run_index,run_label,cipher,model,selected_model,rounds,seed,samples_per_class,pairs_per_sample,epoch,train_loss,train_eval_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc,learning_rate
4,run4: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_shuffled seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_shuffled,gift_cross_spn_typed_cell_true_from_present_shuffled,6,0,65536,4,6.0,0.2430895841680467,0.6810921591240913,0.5562057495117188,0.5995908656623214,0.6842011231929064,0.5490570068359375,0.5870091249234974,0.0001
4,run4: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_shuffled seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_shuffled,gift_cross_spn_typed_cell_true_from_present_shuffled,6,0,65536,4,7.0,0.24254549207398668,0.6785707460949197,0.5653610229492188,0.6022146911127493,0.6834979164414108,0.5555267333984375,0.5871739885769784,0.0001
4,run4: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_shuffled seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_shuffled,gift_cross_spn_typed_cell_true_from_present_shuffled,6,0,65536,4,8.0,0.2424772691738326,0.6752358645899221,0.5740890502929688,0.6056163912871853,0.6802394755650312,0.5597076416015625,0.5858781221322715,0.0001
4,run4: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_shuffled seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_shuffled,gift_cross_spn_typed_cell_true_from_present_shuffled,6,0,65536,4,9.0,0.2418517392652575,0.6801041724393144,0.5591049194335938,0.6081173645798117,0.6854755829554051,0.549407958984375,0.585453340318054,0.0001
4,run4: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_shuffled seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_shuffled,gift_cross_spn_typed_cell_true_from_present_shuffled,6,0,65536,4,10.0,0.24131593928905204,0.6770413009217009,0.5651473999023438,0.6113150605233386,0.6842469724360853,0.5503692626953125,0.5851634973660111,0.0001
5,run5: GIFT-64 r6 gift_cross_spn_typed_cell_shuffled_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_shuffled_from_present_true,gift_cross_spn_typed_cell_shuffled_from_present_true,6,0,65536,4,1.0,0.25139326660428196,0.6938999663107097,0.5,0.5102367645595223,0.6940820794552565,0.5,0.5008822847157717,0.0001
5,run5: GIFT-64 r6 gift_cross_spn_typed_cell_shuffled_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_shuffled_from_present_true,gift_cross_spn_typed_cell_shuffled_from_present_true,6,0,65536,4,2.0,0.25019666014122777,0.6934728651540354,0.500274658203125,0.5185831614071503,0.693738209316507,0.49993896484375,0.5020129443146288,0.0001
5,run5: GIFT-64 r6 gift_cross_spn_typed_cell_shuffled_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_shuffled_from_present_true,gift_cross_spn_typed_cell_shuffled_from_present_true,6,0,65536,4,3.0,0.25005632106331177,0.6927680236985907,0.5118865966796875,0.5206345953047276,0.6931840619072318,0.5023193359375,0.504289991222322,0.0001
5,run5: GIFT-64 r6 gift_cross_spn_typed_cell_shuffled_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_shuffled_from_present_true,gift_cross_spn_typed_cell_shuffled_from_present_true,6,0,65536,4,4.0,0.2500246572890319,0.6926001323154196,0.5162734985351562,0.5226917065447196,0.6931431647390127,0.5026092529296875,0.5044196019880474,0.0001
5,run5: GIFT-64 r6 gift_cross_spn_typed_cell_shuffled_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_shuffled_from_present_true,gift_cross_spn_typed_cell_shuffled_from_present_true,6,0,65536,4,5.0,0.24994699173839763,0.6924611054128036,0.519256591796875,0.5281207396183163,0.6931155589409173,0.50421142578125,0.505068645812571,0.0001
5,run5: GIFT-64 r6 gift_cross_spn_typed_cell_shuffled_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_shuffled_from_present_true,gift_cross_spn_typed_cell_shuffled_from_present_true,6,0,65536,4,6.0,0.24987038841936737,0.6935658330330625,0.5002822875976562,0.5319319510599598,0.6944936970248818,0.4999542236328125,0.5044519179500639,0.0001
5,run5: GIFT-64 r6 gift_cross_spn_typed_cell_shuffled_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_shuffled_from_present_true,gift_cross_spn_typed_cell_shuffled_from_present_true,6,0,65536,4,7.0,0.24974070239113644,0.692534695379436,0.5063858032226562,0.5382051303749904,0.6941510322503746,0.5001983642578125,0.5073309084400535,0.0001
5,run5: GIFT-64 r6 gift_cross_spn_typed_cell_shuffled_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_shuffled_from_present_true,gift_cross_spn_typed_cell_shuffled_from_present_true,6,0,65536,4,8.0,0.24962722655618563,0.6913464113604277,0.5315322875976562,0.543720053974539,0.693154378561303,0.5035552978515625,0.5072583793662488,0.0001
5,run5: GIFT-64 r6 gift_cross_spn_typed_cell_shuffled_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_shuffled_from_present_true,gift_cross_spn_typed_cell_shuffled_from_present_true,6,0,65536,4,9.0,0.24937342724297196,0.6921177912736312,0.5118255615234375,0.5499966312199831,0.6946746613830328,0.502899169921875,0.5065614469349384,0.0001
5,run5: GIFT-64 r6 gift_cross_spn_typed_cell_shuffled_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_shuffled_from_present_true,gift_cross_spn_typed_cell_shuffled_from_present_true,6,0,65536,4,10.0,0.24907742234063335,0.690908505464904,0.5211563110351562,0.5542769214371219,0.6954867399763316,0.5026092529296875,0.5060015311464667,0.0001
