run_index,run_label,cipher,model,rounds,seed,samples_per_class,pairs_per_sample,epoch,train_loss,train_eval_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc,learning_rate
2,run2: Dialga-128 r4 runtime_spn_e4_equivariant_corrupted seed0,Dialga-128,runtime_spn_e4_equivariant_corrupted,4,0,262144,4,1.0,0.09092973069971322,0.254669459901379,0.8953514099121094,0.962820890614239,0.2547624740182073,0.8949127197265625,0.9627753852400929,0.0001
2,run2: Dialga-128 r4 runtime_spn_e4_equivariant_corrupted seed0,Dialga-128,runtime_spn_e4_equivariant_corrupted,4,0,262144,4,2.0,0.0745212899149692,0.23079931464144465,0.9058151245117188,0.9664083421448595,0.23088252329762327,0.9062576293945312,0.966212629689835,0.0001
2,run2: Dialga-128 r4 runtime_spn_e4_equivariant_corrupted seed0,Dialga-128,runtime_spn_e4_equivariant_corrupted,4,0,262144,4,3.0,0.07098923407716029,0.22957986561823418,0.9060802459716797,0.9669762474441086,0.23004537205270026,0.9067306518554688,0.9666790089104325,0.0001
2,run2: Dialga-128 r4 runtime_spn_e4_equivariant_corrupted seed0,Dialga-128,runtime_spn_e4_equivariant_corrupted,4,0,262144,4,4.0,0.06970027833517634,0.22474529787859865,0.9083881378173828,0.9674327552129398,0.22576869696786162,0.9075088500976562,0.9670749779324979,0.0001
2,run2: Dialga-128 r4 runtime_spn_e4_equivariant_corrupted seed0,Dialga-128,runtime_spn_e4_equivariant_corrupted,4,0,262144,4,5.0,0.06910807685324016,0.23077441414261557,0.9060478210449219,0.9676306631736225,0.23164002950397844,0.9063949584960938,0.9672100291354582,0.0001
2,run2: Dialga-128 r4 runtime_spn_e4_equivariant_corrupted seed0,Dialga-128,runtime_spn_e4_equivariant_corrupted,4,0,262144,4,6.0,0.0686594870060162,0.22417447700172488,0.9090118408203125,0.9678282892273273,0.22550661924105952,0.908050537109375,0.9673534199828282,0.0001
2,run2: Dialga-128 r4 runtime_spn_e4_equivariant_corrupted seed0,Dialga-128,runtime_spn_e4_equivariant_corrupted,4,0,262144,4,7.0,0.06843485545908834,0.22432728017929549,0.9084548950195312,0.9678560040265438,0.22540649103029864,0.9083099365234375,0.9673940147040412,0.0001
2,run2: Dialga-128 r4 runtime_spn_e4_equivariant_corrupted seed0,Dialga-128,runtime_spn_e4_equivariant_corrupted,4,0,262144,4,8.0,0.06813593857270916,0.23878489937669656,0.9019851684570312,0.9678716074849945,0.2411420967982849,0.9004745483398438,0.9673292216612026,0.0001
2,run2: Dialga-128 r4 runtime_spn_e4_equivariant_corrupted seed0,Dialga-128,runtime_spn_e4_equivariant_corrupted,4,0,262144,4,9.0,0.06800375803231873,0.22500247216635216,0.9086208343505859,0.9680089602479711,0.22684356697936892,0.9069366455078125,0.9674665584461764,0.0001
2,run2: Dialga-128 r4 runtime_spn_e4_equivariant_corrupted seed0,Dialga-128,runtime_spn_e4_equivariant_corrupted,4,0,262144,4,10.0,0.06779368953732501,0.22163937902769248,0.9098739624023438,0.9681534271949204,0.22372603154508397,0.9092330932617188,0.9675305993296206,0.0001
3,run3: Dialga-128 r4 autond_dbitnet2023 seed0,Dialga-128,autond_dbitnet2023,4,0,262144,4,1.0,0.26427745900218724,0.6907233852325589,0.5300884246826172,0.5427581116455258,0.6982383618596941,0.5009384155273438,0.5016503082588315,0.0001
3,run3: Dialga-128 r4 autond_dbitnet2023 seed0,Dialga-128,autond_dbitnet2023,4,0,262144,4,2.0,0.2590726336220541,0.6898819934722269,0.5326271057128906,0.5459228481049649,0.695256179838907,0.5021896362304688,0.5022304841550067,0.0001
